Timestamp,¿Que te parece el manejo del tiempo en las clases?,¿Que te parece la dificultad de la clase?,¿Que tan utiles te han parecido los siguientes aspectos del curso? [Explicaciones teoricas],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Explicaciones con codigo en R],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Discusiones/preguntas durante la clase],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Seccion teorica de las tareas],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Seccion de codigo de las tareas],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Seccion de proyecto final de las tareas],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Grabaciones de las clases],¿Cuantas horas les tomo hacer la tarea? (Solo escriban el numero),¿Cuantas horas le dedicas al curso por semana? (Solo escriban el numero),¿Cual es tu nivel de satisfaccion con el curso hasta ahora?,¿Cual es tu nivel de satisfaccion con los instructores hasta ahora?,¿Que aspectos del curso te han parecido efectivos para aprender el material?,¿Que aspectos del curso te han parecido inefectivos para aprender el material?,¿Que crees que podriamos hacer los instructores para mejorar tu aprendizaje del material?,¿Que crees que podrias hacer tu y los otros estudiantes para mejorar tu aprendizaje del material? ¿Como podriamos persuadirte a ti y a tus compañeros a hacer lo que sugieres?,¿De que porcentaje de las clases te has salido a mitad de clase?,¿De que porcentaje de las clases te has salido?,¿Que tan comodo te sentiste con el manejo del R para hacer la tarea?,¿Que podemos hacer los instructores para mejorar tu comodidad con el R?,¿Que podrias hacer tu para mejorar tu comodidad con el R? ¿Como podriamos estimularte a hacerlo?,Suponte que pudieramos rankear a todos los estudiantes por que tanto estan entendiendo el material del curso: ¿Donde crees que estarias parado?,"¿Cuantos cursos de probabilidad, estadistica o econometria habias tomado antes de este curso? (Solo escribe el numero)",¿Que otros comentarios tienes en relacion al curso y los instructores?
5/18/2022 19:06,4,8,Algo util,Nada util,Poco util,Muy util,Nada util,Algo util,Muy util,6,2,3,4,Grabaciones (sobre todo parte teorica),"El manejo de R (nunca lo habia manejado, me fue mal en la tarea)",Mejorar el horario. No sea tan pesado. Dedicarle mas detallado a R,Dedicarle mas tiempo a R,10,10,1,Dedicar mas tiempo. Explicar mas detallado La clase 3 fue muy rapida,Tener sesion especial con R o mas tiempoo con R.,4,4,
5/18/2022 19:15,5,7,Muy util,Poco util,Muy util,Muy util,Nada util,Muy util,Muy util,6,3,3,4,todas las explicaciones teoricas,el manejo de R,"mejorar el horario en cuanto a la parte teoria y practica, es decir, que sea equitativas digamos que hora y media para la teoria y la otra hora y media para la parte practica",dedicarle mas tiempo al material,10,9,1,hacerlo mas dinamico en el sentido de practicar e ir paso a paso de forma mas calmada,mandar asignaciones en r semana tras semana estimularia mas a la automatizacion de usar el programa,5,5,
5/18/2022 21:27,4,7,Muy util,Poco util,Muy util,Algo util,Nada util,Algo util,Algo util,6,4,3,4,La seccion teorica,R,Aplicaciones mas practicas en R,Dedicar mas tiempo,10,10,1,Seccion para aclarar dudas,"Practicar, mandar tareas evolutivas de mas faciles a mas complejas",7,5,Me ha encantado la parte teorica
5/18/2022 22:06,5,8,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,72,72,5,5,Programacion en R,Las tareas son un poco largas,Extender el tiempo de entrega de las tareas (una semana mas),Me gustaria interactuar mas con R. Quizas poner ejercicios que me ayuden a practicar.,10,10,5,Poner guias de ejercicios de practica.,Interactuar a menudo con el programa. Podrian mandar ejercicios cortos pero practicos,7,3,"Ninguno. En general, bastante satisfecha"
5/18/2022 22:19,8,8,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,Algo util,10,3,4,5,Los ejemplos son muy ilustrativos y me parece una manera efectiva de aprender los aspectos teoricos de clase.,Mi manejo de algunas de las funcionalidades del codigo presentado en clases no es el mejor. Considero que podria haber un detenimiento un poco mayor en esta seccion.,,Considero que llevar casos practicos o ejemplos (como el paper de Labor Market Discrimination) es una manera dinamica de llevar la clase en la que nos podemos involucrar mas e ir repasando conceptos mediante un aprendizaje mas activo,10,10,7,"Me gustaria mucho detalles de las funciones/paquetes que usaremos en las clases proximas (clase por clase) para poder indagar un poco mas acerca de las funciones previo a la clase. Siento que a veces pierdo el hilo de R, porque a pesar de saber lo basico del programa, hay cosas que me cuestan un poco entender.","Me encantaria poder revisar despues de las clases material de R o continuar con los cursos de Data Camp que estaba haciendo, pero veo una limitante de tiempo (uni y otras materias + tesis + pasantia). Intento estar al dia con la materia y darle la mayor cantidad de tiempo que puedo para entender bien lo que hago, pero se me dificulta darle el seguimiento que quisiera.",9,5,"Me gusta mucho el hecho de que realmente procuran que entendamos el material de clase o las clases de programacion. Soy fan de los ejemplos, ademas de ser ilustrativos son divertidos. A veces siento que falta tiempo de clases para poder ver todo sin apuros (Clase Teorica + R). Creo que esta tarea fue un poquito extensa, en funcion de lo que habia comentado en una pregunta previa (quisiera saber si es posible negociar el plazo de entrega --> En lugar de 1 semana, 2 semanas para poder tener tiempo de hacerla y aclarar dudas). Gracias por hacer esta encuesta :) Todo super genial!"
5/19/2022 5:43,4,8,Algo util,Algo util,Poco util,Muy util,Algo util,Poco util,Algo util,8,2,3,4,,,,,7,7,3,,,4,,
5/19/2022 9:52,10,10,Muy util,Muy util,Muy util,Muy util,Algo util,Muy util,Muy util,12,3,5,5,Grabacion de la clase por la velocidad de la misma y repaso de los codigos de R,Realmente ninguno sin embargo mi manejo de R y econometria es muy basico entonces se me dificulta la materia,Quisiera poder contactar a Carlos o a Jose en otros horarios porque chocan con mis materias (miercoles) y honestamente tener la hora de consulta el mismo dia de la clase es poco util ya que no da tiempo para presentar dudas (jueves) pero comprendo que ambos tienen agendas que atender de forma personal,Creo que seria bueno tener grabaciones asincronas de como realizar las asignaciones es decir poder ver algun material de algo muy similar y replicarlo en la asignacion y posteriormente en el trabajo ya que realmente es cuesta arriba agarrar el truco de R en tan solo un par de semanas y con ciertas fallas en estadistica y econometria todavia mas,8,10,1,Brindarnos alguna forma de empezar en R mas basico (cursos pregrabados) producto de que no se usa en la universidad sino unicamente bajo decision personal en materias electivas y a su vez tener sus aplicaciones en econometria,Tengo un curso comprado en Udemy podria empezar a trabajarlo,3,4,"El curso me parece genial, incluso es posiblemente lo mas llevado a la practica en futuro quese podria sin embargo no cuento con la base necesaria para enfrentar una tarea de este tipo por los momentos"
5/19/2022 9:56,6,7,Muy util,Algo util,Muy util,Algo util,Muy util,Algo util,Muy util,12,7,4,5,Llevar los conceptos estadisticos a situaciones tangibles y faciles de visualizar.,"Todos me han parecidos eficientes, solo agregaria un espacio extra para R.","Un espacio de prepaduria extra unicamente respecto a R, recomendar cursos como Swirl (que esta dentro del mismo RStudio) y similares, los cuales serian interesantes antes de realizar una tarea, aprecio muchisimo los articulos de twitter y las charlas extras, pero creo que no seria despreciable tal vez pensar en aprender dentro del mismo R con sus extensos tools.","Que alguna tarea sea cambiado por la realizacion de uno o varios cursos de R y se compruebe su validez utilizando un vector de cedula, nombre y una hora de inicio y finalizacion con el sistema de las computadoras de cada quien.",8,7,4,"Explicaciones mas detalladas respecto a los paquetes de R y como estas funciones se pueden utilizar, un ejemplo seria con seleccionar columnas especificas a traves de df% en lugar hacer un vector con una lista o cosas peque;as de ese estilo, seria chevere una hora de prepaduria solo de tecnisismos de R.","Videos ilustrativos (en ingles de preferencia) que expliquen situaciones similares y como resolverlas, o al menos algo lo suficientemente similar para dejar ese espacio de pensar, los script son muy buenos pero pueden quedar un poco a la interpretacion, sobre todo si por xyz razon no se tiene acceso al video grabado, el cual usualmente es muy ilustrativo en si mismo y agradezco que se suba.",7,5,"Estoy muy emocionado de continuar el curso y me disculpo formalmente por mis faltas en las clase anteriores, he tenido diversas situaciones personales/laborales/academicas pero me aseguro de verlas online, particularmente me encanta que ambos profesores se nota que saben muchisimo del tema y tienen espacios como este para el feedback, asegurando que en un futuro cercano el curso pueda ser mejor, y aun mas proyectado a futuro, gracias."
5/19/2022 10:13,6,7,Muy util,Algo util,Muy util,Muy util,Muy util,Algo util,Muy util,20,5,4,5,Me gustan los papers y hablar sobre ellos en clase porque aterriza un poco mas los conceptos que vemos,,,"Podriamos practicar mas los codigos porque fue un poco dificil llevar la lineal en la tarea, fue lo que mas nos costo",8,9,4,,,7,3,Quisiera saber si es posible alargar el periodo de entrega de las tareas
5/19/2022 10:18,5,7,Muy util,Algo util,Algo util,Algo util,Algo util,Poco util,Muy util,48,12,3,3,Las clases teoricas,"Pudiesemos dedicarle mas tiempo a esta parte R , aunque en lineas generales se ha hecho muy bien.","Quizas hacer mas sesiones de R a parte que sean aplicables directamente a la realizacion de las asignacines, aunque en lineas generales esto se ha hecho.",Dedicarle mas tiempo en la materia,9,8,5,Dedicarle un poco mas de tiempo quizas mas sesiones,Dedicarle un poco mas de tiempo quizas mas sesiones,6,5,"Gracias por el tiempo y la disposicion de dar clases, estoy seguro podremos ir mejorando todos en la medida que avanza el curso."
5/19/2022 10:25,5,7,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,25,7,4,5,La revision de ejercicios y la discusion de papers,,Realizar o asignar mas ejercicios practicos,Realizar mas ejercicios. Se nos puede persuadir asignando una guia o algo parecido.,6,6,3,Explicar un poco mas los argumentos y las funciones de los codigos utilizados en clase,Dedicando mas tiempo al entendimiento de los codigos,7,5,"Muy buen curso, las clases son interesantes, solo me he salido por problemas de conexion."
5/19/2022 17:07,6,6,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,15,,5,5,"Las preguntas en clases, los ejemplos ofrecidos, las lecturas antes de la clase.",Ninguno,Tal vez podrian ofrecer mas material bibliografico y sugerir los capitulos/lecturas que podrian ayudar para cada tema.,Realizar lecturas de la bibliografia o de un paper. Que en cada clase se trate un paper o una lectura como ejemplo de esa manera tendriamos que realizar la lectura para poder entender esa clase o participar.,10,10,5,"Tal vez podrian sugerirnos alguna paginas de videos cortos, con tutoriales.","Practicar, practicar y practicar.",6,4,"Hasta ahora ha sido un curso excelente, estoy muy agradecida con todo el apoyo y el esfuerzo que han brindado. pd: una vez me sali casi terminando la clase pero fue porque se fue la luz y la señal."
6/6/2022 14:56,5,6,Muy util,Nada util,Muy util,Muy util,Poco util,Muy util,Muy util,6,6,4,4,,,,,6,7,2,,,5,5,
6/6/2022 14:57,5,6,Muy util,Nada util,Muy util,Muy util,Muy util,Algo util,Algo util,6,5,3,3,,R,,Repasar R,5,9,1,mas tiempo en clase para R,mas tiempo en R,5,5,
6/8/2022 20:22,8,7,Muy util,Algo util,Muy util,Muy util,Muy util,Muy util,Muy util,12,18,5,5,"Los ejemplos y la bibliografia! (The Effect es muy bueno). Ademas, el tener las clases grabadas me permite repasar lo que vimos y tener un mayor entendimiento de conceptos que capaz no entendi durante la clase","Creo que los materiales del curso han sido muy ilustrativos, pero tengo que dedicar mas tiempo para mejorar mi manejo de R",Me gustaria poder ver un poco mas del desarrollo del codigo en R,"Podria dedicar mas tiempo a la practica de R, asi como leer mas de la bibliografia recomendada (hasta ahora he estado leyendo The Effect)",10,10,8,Considero que estan haciendo lo correcto: dando las herramientas y su aplicacion. Creo que ya queda de mi parte ver con mayor detenimiento el material de la parte de R y practicar en casa,Quisiera practicar mucho mas fuera de clases para mejorar mi comodidad en R,10,5,Todo excelente con respecto a los instructores y al material que vemos en el curso.
6/10/2022 9:03,8,8,Muy util,Algo util,Muy util,Muy util,Nada util,Algo util,Muy util,12,4,2,4,"Las grabaciones de las clases, workshop y GIT Hub","Siento que el R es demasiado avanzado para mi nivel actual y no entiendo absolutamente nada que hacer, tengo muchas lagunas de econometria I y II",La verdad no lo se de mi parte no tengo la base estadistica/econometria necesaria y el manejo de R para seguir el ritmo de las actividades,R es algo muy nuevo para mi creo que lo mejor seria un start with the basic pero eso esta dificil para el curso,8,7,1,Resolver la tarea en clase luego de ser corregida,"Aprender a utlizarlo mejor muchas veo codigo, funciones y los paquetes y no se para que sirve cada uno",3,4,Aprecio mucho el hecho de que nos ofrezcan la materia sin embargo personalmente me esta costando demasiado afrontarla
6/10/2022 10:44,7,8,Muy util,Algo util,Muy util,Muy util,Algo util,Muy util,Muy util,15,6,4,5,"Las ejemplificaciones con trabajos realizados anteriormente, sobre todo en la teoria. Por la parte practica la explicacion del R en HTML.",La realizacion de copias de trabajos mucho mas avanzados en R.,Ser mas puntuales explicando R ya que uno tiende a perderse,"Para poder mejorar el aprendizaje hay que aprender mejor R porque considero que todos hemos captado la parte teorica, pero se presentan deficiencias a nivel de la practica.",9,9,3,Explicar mas a detalle,"La estimulacion ya existe en las clases, creo que queda mas de mi parte ponerme mas a practicar R.",7,5,"El manejo que tienen sobre la materia y la paciencia que tienen al explicar es admirable y todos en el grupo lo agradecemos enormemente, creo que la mayoria de nosotros falla al tener una muy mala base de econometria y muy poco conocimiento en R, creo que definitivamente eso haria la diferencia para poder captar de mejor manera el curso. Gracias por siempre buscar soluciones para nosotros."
6/10/2022 21:55,5,6,Muy util,Algo util,Algo util,Muy util,Muy util,Poco util,Muy util,10,14,5,5,Todo lo dado ha sido efectivo,Ninguno,"Por ahora creo que ya queda de parte de los estudiantes aportar tambien, incluyendome",,9,9,6,,,6,5,"Gracias por el esfuerzo,"
6/24/2022 10:26,5,6,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,9,14,5,5,La discusiones teoricas de cada metodo para evaluar causalidad,"Creo que se ha mejorado bastante lo de R, por mi parte superado ese problema.",Por ahora creo que se ha mejorado mucho.,"Quizas podria incentivar a mis companneros a que se una a la clase online, eso me ha motivado mas entender los temas.",9,9,8,,,9,5,"Siento que la parte del curso con datos panel es muy interesante, sinceramente ha sido lo mejor que nos han ensennado en la carrera en el tema econometrico/causal. Excelente clase, con contenido muy actual. La recomendare a los semestres de mas bajo nivel, especialmente para aquellos que estan en 7mo semestre y tienen timepo para plantear una tesis."
7/1/2022 5:26,7,7,Muy util,Muy util,Muy util,Muy util,Muy util,Algo util,Muy util,5,8,4,5,,,,,3,3,3,,,7,,"Esta ha sido mi tarea favorita hasta el momento, me parecio muy interesante el tema y es algo sobre lo que ya tenia curiosidad y me gusto que lo tocaramos en la materia. Tambien, tanto el paper como el podcast me parecieron muy entretenidos por lo que hacer la tarea fue bastante divertido. Pude investigar algunas cosas mas para profundizar y considero me sirvio de mucho."
7/1/2022 5:45,7,9,Muy util,Algo util,Muy util,Muy util,Algo util,Muy util,Muy util,15,6,4,5,"Grabaciones de las clases, investigacion personal, revision del R y realizacion de cursos pre-grabados por internet",Realmente ninguno simplemente me cuesta seguir el ritmo a veces por la complejidad de la materia,"A este punto del curso creo que continuar como vienen al ser un curso online se puede preservar el material, el que este interesado puede usarlo el dia de mañana para actividades de estudios superiores (maestria, etc) o incluso generar valor agregado en el campo laboral a traves de conocimientos de programacion, estadistica y buenas practicas de analisis de datos con inferencia causal",,4,3,3,Se ha hecho mas sencillo entender el R corriendo el codigo y explicando para que se usa como lo vienen haciendo,Continuar repasando material pregrabado en internet sobre el mismo,3,5,Que me parece genial esta materia y los profesores son de los mejores que he tenido y me frustra no tener la base yo como estudiante para seguirles el ritmo en este momento junto con otras responsabilidades laborales y de otras materias se me complica todavia mas
